date,strategy_return,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_PR_uniform_excl,beta_const
2024-03-31,0.004401727677817139,0.6901871160795525,0.6471260860638501,-0.5986481629737525,0.056194004512803195,0.5667077515522367,-0.02965435582750081,-0.003279696897548936
2024-04-30,-0.03175406225171363,0.6987506389843366,0.6558185095299409,-0.5530381972420535,0.13238567828802,0.5398291417446792,-0.03461412731965489,-0.003005869559031636
2024-05-31,0.02116055652427998,0.7058172565355405,0.7095431774452864,-0.5859767287309898,0.12719649150759307,0.6003066785645086,-0.031897378334496046,-0.004191955937212876
2024-06-30,0.022822323382594555,0.7136479379660916,0.7335469482425547,-0.5719565797478507,0.16501132118574485,0.5617038194963573,-0.028751479848045804,-0.003575933912111944
2024-07-31,0.034634570678704,0.722406087997387,0.6558328059126249,-0.46775241517031196,0.1717875624099354,0.4370711205135081,-0.022611797710863683,-0.00449357730654986
2024-08-31,0.0025215357632908265,0.7055954293991538,0.7627641754262078,-0.44743005475657244,0.17751252927250766,0.4240586632679464,-0.02864753161470864,-0.0037770469838814694
2024-09-30,-0.03848594502426057,0.7051916463726309,0.7795336006231564,-0.4739691439649392,0.1832733004002877,0.46037612293351804,-0.02293424294298162,-0.004372681242815977
2024-10-31,-0.02312444050378178,0.6927066034430873,0.7647765550165427,-0.41313949307960524,0.1746319587110559,0.40365453786587846,-0.023020024278854752,-0.004981429841724071
2024-11-30,-0.06341233465621471,0.7245579764827914,0.7337515987665183,-0.37951647532170923,0.1964712934086685,0.3494417783003474,-0.017395141302896603,-0.0051062566697794454
2024-12-31,-0.03538020984101749,0.6752912684748633,0.7142351690526644,-0.4194503623876392,0.35365704931213565,0.40860353190519927,-0.03768549470112126,-0.006574796414653125
